time,open,high,low,close,amount,complete
2015-01-19 07:00:00,117.47,117.785,116.922,117.558,31738.0,True
2015-01-20 07:00:00,117.601,118.87,117.581,118.814,48669.0,True
2015-01-21 07:00:00,118.838,118.838,117.181,117.954,62297.0,True
2015-01-22 07:00:00,117.966,118.672,117.25,118.502,59978.0,True
2015-01-23 07:00:00,118.502,118.816,117.54,117.8,56402.0,True
2015-01-26 07:00:00,117.516,118.5,117.264,118.456,41435.0,True
2015-01-27 07:00:00,118.456,118.66,117.34,117.864,45778.0,True
2015-01-28 07:00:00,117.827,118.264,117.252,117.536,54288.0,True
2015-01-29 07:00:00,117.536,118.488,117.383,118.291,48739.0,True
2015-01-30 07:00:00,118.312,118.458,117.3,117.535,48271.0,True
2015-02-02 07:00:00,116.974,117.881,116.94,117.598,44761.0,True
2015-02-03 07:00:00,117.536,117.747,116.874,117.568,46363.0,True
2015-02-04 07:00:00,117.608,118.0,117.075,117.262,41842.0,True
2015-02-05 07:00:00,117.296,117.6,117.025,117.53,33930.0,True
2015-02-06 07:00:00,117.53,119.221,117.178,119.134,39290.0,True
2015-02-09 07:00:00,119.02,119.098,118.333,118.633,31775.0,True
2015-02-10 07:00:00,118.633,119.621,118.398,119.423,32437.0,True
2015-02-11 07:00:00,119.446,120.477,119.286,120.462,31682.0,True
2015-02-12 07:00:00,120.461,120.476,118.513,119.109,57160.0,True
2015-02-13 07:00:00,119.108,119.2,118.414,118.799,34850.0,True
2015-02-16 07:00:00,118.458,118.786,118.274,118.48,28226.0,True
2015-02-17 07:00:00,118.466,119.416,118.236,119.242,30093.0,True
2015-02-18 07:00:00,119.242,119.417,118.546,118.786,37112.0,True
2015-02-19 07:00:00,118.776,119.18,118.434,118.943,28449.0,True
2015-02-20 07:00:00,118.943,119.19,118.302,119.01,33358.0,True
2015-02-23 07:00:00,119.112,119.354,118.742,118.813,20096.0,True
2015-02-24 07:00:00,118.796,119.84,118.765,118.98,29984.0,True
2015-02-25 07:00:00,118.945,119.066,118.629,118.86,22785.0,True
2015-02-26 07:00:00,118.835,119.503,118.68,119.418,26391.0,True
2015-02-27 07:00:00,119.396,119.798,119.114,119.606,28266.0,True
2015-03-02 07:00:00,119.726,120.19,119.636,120.132,19580.0,True
2015-03-03 07:00:00,120.155,120.266,119.382,119.738,22178.0,True
2015-03-04 07:00:00,119.716,119.826,119.471,119.688,23304.0,True
2015-03-05 07:00:00,119.713,120.429,119.631,120.134,23926.0,True
2015-03-06 07:00:00,120.134,121.285,119.903,120.827,35912.0,True
2015-03-09 06:00:00,120.844,121.417,120.616,121.15,23141.0,True
2015-03-10 06:00:00,121.158,122.03,120.92,121.146,42354.0,True
2015-03-11 06:00:00,121.121,121.628,120.851,121.453,38344.0,True
2015-03-12 06:00:00,121.45,121.672,120.658,121.284,35543.0,True
2015-03-13 06:00:00,121.284,121.572,121.135,121.384,31056.0,True
2015-03-16 06:00:00,121.384,121.465,121.092,121.34,23290.0,True
2015-03-17 06:00:00,121.365,121.522,121.116,121.374,20717.0,True
2015-03-18 06:00:00,121.376,121.414,119.295,120.118,51295.0,True
2015-03-19 06:00:00,120.118,121.032,119.676,120.772,44801.0,True
2015-03-20 06:00:00,120.807,121.205,119.9,120.07,34548.0,True
2015-03-23 06:00:00,119.874,120.168,119.588,119.726,32554.0,True
2015-03-24 06:00:00,119.711,119.984,119.222,119.753,32037.0,True
